timestep,delivered,available,idle,to_good,collecting,returning
1,0,21,0,4,0,0
2,0,21,0,4,0,0
3,0,21,0,4,0,0
4,0,21,0,3,1,0
5,0,20,0,2,1,1
6,0,19,0,2,0,2
7,0,19,0,2,0,2
8,1,19,1,2,0,1
9,1,19,0,2,1,1
10,2,18,1,1,1,1
11,2,17,0,2,0,2
12,2,17,0,2,0,2
13,2,17,0,1,1,2
14,2,16,0,1,0,3
15,2,16,0,0,1,3
16,2,15,0,0,0,4
17,2,15,0,0,0,4
18,4,15,2,0,0,2
19,4,15,0,2,0,2
20,6,15,2,2,0,0
21,6,15,0,4,0,0
22,6,15,0,4,0,0
23,6,15,0,4,0,0
24,6,15,0,4,0,0
25,6,15,0,4,0,0
26,6,15,0,4,0,0
27,6,15,0,3,1,0
28,6,14,0,3,0,1
29,6,14,0,2,1,1
30,6,13,0,2,0,2
31,6,13,0,1,1,2
32,6,12,0,0,1,3
33,6,11,0,0,0,4
34,6,11,0,0,0,4
35,6,11,0,0,0,4
36,7,11,1,0,0,3
37,7,11,0,1,0,3
38,8,11,1,1,0,2
39,8,11,0,2,0,2
40,8,11,0,2,0,2
41,8,11,0,2,0,2
42,9,11,1,2,0,1
43,9,11,0,3,0,1
44,9,11,0,3,0,1
45,9,11,0,3,0,1
46,10,11,1,2,1,0
47,10,10,0,3,0,1
48,10,10,0,3,0,1
49,10,10,0,3,0,1
50,10,10,0,3,0,1
51,10,10,0,2,1,1
52,10,9,0,2,0,2
53,10,9,0,1,1,2
54,10,8,0,1,0,3
55,10,8,0,1,0,3
56,11,8,1,1,0,2
57,11,8,0,2,0,2
58,11,8,0,2,0,2
59,11,8,0,2,0,2
60,11,8,0,1,1,2
61,11,7,0,1,0,3
62,11,7,0,1,0,3
63,11,7,0,1,0,3
64,13,7,2,1,0,1
65,13,7,0,3,0,1
66,13,7,0,3,0,1
67,13,7,0,3,0,1
68,13,7,0,3,0,1
69,13,7,0,2,1,1
70,13,6,0,2,0,2
71,13,6,0,2,0,2
72,13,6,0,2,0,2
73,13,6,0,2,0,2
74,14,6,1,2,0,1
75,14,6,0,2,1,1
76,14,5,0,2,0,2
77,14,5,0,1,1,2
78,14,4,0,1,0,3
79,14,4,0,1,0,3
80,14,4,0,1,0,3
81,14,4,0,1,0,3
82,15,4,1,1,0,2
83,15,4,0,2,0,2
84,15,4,0,2,0,2
85,15,4,0,2,0,2
86,16,4,1,2,0,1
87,16,4,0,3,0,1
88,16,4,0,3,0,1
89,16,4,0,2,1,1
90,17,3,1,2,0,1
91,17,3,0,3,0,1
92,17,3,0,3,0,1
93,17,3,0,3,0,1
94,17,3,0,3,0,1
95,17,3,0,3,0,1
96,17,3,0,3,0,1
97,17,3,0,3,0,1
98,17,3,0,3,0,1
99,17,3,0,3,0,1
100,17,3,0,3,0,1
101,17,3,0,2,1,1
102,17,2,0,1,1,2
103,17,1,0,1,0,3
104,18,1,1,1,0,2
105,18,1,1,1,0,2
106,18,1,1,1,0,2
107,18,1,1,0,1,2
108,18,0,1,0,0,3
109,18,0,1,0,0,3
110,18,0,1,0,0,3
111,18,0,1,0,0,3
112,18,0,1,0,0,3
113,18,0,1,0,0,3
114,18,0,1,0,0,3
115,18,0,1,0,0,3
116,18,0,1,0,0,3
117,18,0,1,0,0,3
118,19,0,2,0,0,2
119,19,0,2,0,0,2
120,20,0,3,0,0,1
121,20,0,3,0,0,1
122,20,0,3,0,0,1
123,20,0,3,0,0,1
124,21,0,4,0,0,0
