timestep,delivered,available,idle,to_good,collecting,returning
1,0,31,0,2,0,0
2,0,31,0,2,0,0
3,0,31,0,2,0,0
4,0,31,0,1,1,0
5,0,30,0,0,1,1
6,0,29,0,0,0,2
7,0,29,0,0,0,2
8,1,29,1,0,0,1
9,1,29,0,1,0,1
10,2,29,1,1,0,0
11,2,29,0,2,0,0
12,2,29,0,2,0,0
13,2,29,0,1,1,0
14,2,28,0,1,0,1
15,2,28,0,0,1,1
16,2,27,0,0,0,2
17,2,27,0,0,0,2
18,3,27,1,0,0,1
19,3,27,0,1,0,1
20,4,27,1,1,0,0
21,4,27,0,2,0,0
22,4,27,0,2,0,0
23,4,27,0,2,0,0
24,4,27,0,1,1,0
25,4,26,0,0,1,1
26,4,25,0,0,0,2
27,4,25,0,0,0,2
28,4,25,0,0,0,2
29,4,25,0,0,0,2
30,6,25,2,0,0,0
31,6,25,0,2,0,0
32,6,25,0,2,0,0
33,6,25,0,2,0,0
34,6,25,0,2,0,0
35,6,25,0,2,0,0
36,6,25,0,1,1,0
37,6,24,0,1,0,1
38,6,24,0,0,1,1
39,6,23,0,0,0,2
40,6,23,0,0,0,2
41,6,23,0,0,0,2
42,7,23,1,0,0,1
43,7,23,0,1,0,1
44,7,23,0,1,0,1
45,7,23,0,1,0,1
46,8,23,1,1,0,0
47,8,23,0,2,0,0
48,8,23,0,1,1,0
49,8,22,0,1,0,1
50,8,22,0,1,0,1
51,8,22,0,1,0,1
52,8,22,0,1,0,1
53,8,22,0,1,0,1
54,9,22,1,0,1,0
55,9,21,0,1,0,1
56,9,21,0,1,0,1
57,9,21,0,1,0,1
58,9,21,0,1,0,1
59,9,21,0,1,0,1
60,9,21,0,1,0,1
61,9,21,0,1,0,1
62,10,21,1,0,1,0
63,10,20,0,1,0,1
64,10,20,0,1,0,1
65,10,20,0,1,0,1
66,10,20,0,1,0,1
67,10,20,0,1,0,1
68,10,20,0,1,0,1
69,10,20,0,1,0,1
70,11,20,1,0,1,0
71,11,19,0,1,0,1
72,11,19,0,1,0,1
73,11,19,0,1,0,1
74,11,19,0,1,0,1
75,11,19,0,1,0,1
76,11,19,0,1,0,1
77,11,19,0,1,0,1
78,12,19,1,0,1,0
79,12,18,0,1,0,1
80,12,18,0,1,0,1
81,12,18,0,1,0,1
82,12,18,0,1,0,1
83,12,18,0,1,0,1
84,12,18,0,1,0,1
85,12,18,0,1,0,1
86,13,18,1,1,0,0
87,13,18,0,1,1,0
88,13,17,0,1,0,1
89,13,17,0,1,0,1
90,13,17,0,1,0,1
91,13,17,0,1,0,1
92,13,17,0,1,0,1
93,13,17,0,1,0,1
94,13,17,0,0,1,1
95,13,16,0,0,0,2
96,14,16,1,0,0,1
97,14,16,0,1,0,1
98,14,16,0,1,0,1
99,14,16,0,1,0,1
100,14,16,0,1,0,1
101,14,16,0,1,0,1
102,15,16,1,1,0,0
103,15,16,0,2,0,0
104,15,16,0,2,0,0
105,15,16,0,1,1,0
106,15,15,0,1,0,1
107,15,15,0,1,0,1
108,15,15,0,1,0,1
109,15,15,0,1,0,1
110,15,15,0,1,0,1
111,15,15,0,0,1,1
112,15,14,0,0,0,2
113,15,14,0,0,0,2
114,16,14,1,0,0,1
115,16,14,0,1,0,1
116,16,14,0,1,0,1
117,16,14,0,1,0,1
118,16,14,0,1,0,1
119,16,14,0,1,0,1
120,17,14,1,1,0,0
121,17,14,0,2,0,0
122,17,14,0,2,0,0
123,17,14,0,1,1,0
124,17,13,0,1,0,1
125,17,13,0,1,0,1
126,17,13,0,1,0,1
127,17,13,0,1,0,1
128,17,13,0,1,0,1
129,17,13,0,0,1,1
